2019-05-05-15-40-43:surprise,0.979668:Edgy:edgy (117).jpg
2019-05-05-15-40-45:surprise,0.746579:Edgy:edgy (117).jpg
2019-05-05-15-40-46:neutral,0.984983:Edgy:edgy (117).jpg
2019-05-05-15-40-47:surprise,0.465633:Edgy:edgy (117).jpg
2019-05-05-15-40-48:surprise,0.568956:Edgy:edgy (117).jpg
2019-05-05-15-40-49:neutral,0.596886:Wholesome:wholesome (50).jpg
2019-05-05-15-40-50:surprise,0.540758:Wholesome:wholesome (50).jpg
2019-05-05-15-40-52:neutral,0.764124:Wholesome:wholesome (50).jpg
2019-05-05-15-40-53:neutral,0.457983:Wholesome:wholesome (50).jpg
2019-05-05-15-40-54:neutral,0.493579:Wholesome:wholesome (50).jpg
2019-05-05-15-40-55:surprise,0.705383:Wholesome:wholesome (20).jpg
2019-05-05-15-40-57:happy,0.611889:Wholesome:wholesome (20).jpg
2019-05-05-15-40-58:happy,0.471019:Wholesome:wholesome (20).jpg
2019-05-05-15-40-59:disgust,0.804139:Wholesome:wholesome (20).jpg
2019-05-05-15-41-01:disgust,0.528234:Wholesome:wholesome (20).jpg
2019-05-05-15-41-02:happy,0.425562:Edgy:edgy (169).jpg
2019-05-05-15-41-03:happy,0.865012:Edgy:edgy (169).jpg
2019-05-05-15-49-56:anger,0.698323:Edgy:edgy (164).jpg
2019-05-05-15-49-57:surprise,0.763604:Edgy:edgy (164).jpg
2019-05-05-15-49-58:surprise,0.758137:Edgy:edgy (164).jpg
2019-05-05-15-49-59:happy,0.823937:Edgy:edgy (164).jpg
